post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_aioseo_title,meta:_aioseo_description,meta:_aioseo_keywords,meta:_aioseo_og_title,meta:_aioseo_og_description,meta:_aioseo_twitter_title,meta:_aioseo_og_article_tags,meta:_aioseo_twitter_description,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_gabarity-krovati-mm,attribute_data:pa_gabarity-krovati-mm,attribute_default:pa_gabarity-krovati-mm,attribute:pa_gipoallergennye-napolniteli,attribute_data:pa_gipoallergennye-napolniteli,attribute_default:pa_gipoallergennye-napolniteli,attribute:pa_kreplenie,attribute_data:pa_kreplenie,attribute_default:pa_kreplenie,attribute:pa_mozhno-skrutit-v-rulon,attribute_data:pa_mozhno-skrutit-v-rulon,attribute_default:pa_mozhno-skrutit-v-rulon,attribute:pa_nagruzka,attribute_data:pa_nagruzka,attribute_default:pa_nagruzka,attribute:pa_razmer,attribute_data:pa_razmer,attribute_default:pa_razmer,attribute:pa_razmer-spalnogo-mesta-sm,attribute_data:pa_razmer-spalnogo-mesta-sm,attribute_default:pa_razmer-spalnogo-mesta-sm,attribute:pa_skruchen-v-rulon,attribute_data:pa_skruchen-v-rulon,attribute_default:pa_skruchen-v-rulon,attribute:pa_vysota,attribute_data:pa_vysota,attribute_default:pa_vysota,attribute:pa_vysota-izgolovya,attribute_data:pa_vysota-izgolovya,attribute_default:pa_vysota-izgolovya,attribute:pa_vysota-nozhki,attribute_data:pa_vysota-nozhki,attribute_default:pa_vysota-nozhki,attribute:pa_zhestkost,attribute_data:pa_zhestkost,attribute_default:pa_zhestkost,attribute:pa_zhestkost-storon,attribute_data:pa_zhestkost-storon,attribute_default:pa_zhestkost-storon
"LIGHT DOUBLE",light-double,,117,,"<div class=""card__desc"">
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Чехол из износоустойчивой ткани Трикот с высокообъёмным наполнителем Hollcon 70 гр/м2</li>
			<li>Forplit Eco 10 мм</li>
                        <li>Кокос 10 мм</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Кокос 10 мм</li>
                        <li>Forplit Eco 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img i""></div>
			<div class=""title"">Гипоаллергенный, упругий, устойчивый к нагрузкам материал, Forplit Eco</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Слой натурального кокоса с влаго и износоустойчивыми свойствами придает дополнительную жесткость</div>
		</div>
	</div>
</div>",publish,,0,"2021-11-15 10:28:38",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/light-double.png ! alt :  ! title : Light Double ! desc :  ! caption : ",,https://naturavera.org/product/light-double/,0,,,,,,,,,simple,,"Матрасы > Коллекция Light",,,,,,,,,,,,Да,3|1|0,,"120 кг",1|1|0,,,,,,,,,,,"19 см",0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"EXTRA SPRING",extra-spring,,118,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Кокос 5 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Bi-Foam 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img f""></div>
			<div class=""title"">Разная жесткость сторон</div>
		</div>
		<div class=""item"">
			<div class=""bg-img j2""></div>
			<div class=""title"">С одной стороны гипоаллергенная пена высокой плотности Bi-Foam</div>
		</div>
<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">С другой стороны слой экологически чистого и упругого кокоса</div>
		</div>
	</div>
</div>",publish,,100,"2021-11-15 10:31:55",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-extra-spring.png ! alt :  ! title : Larmento Extra Spring ! desc :  ! caption : ",,https://naturavera.org/product/extra-spring/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,Да,3|1|0,,"120 кг",1|1|0,,,,,,,,,,,"18 см",0|1|0,,,,,,,,,,,"средняя/выше средней",2|1|0,
"NEW FOAM",new-foam,,119,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 10 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 на спальное место</li>
                        <li>Термовойлок</li>
                        <li>ППУ 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
		<div class=""item"">
			<div class=""bg-img b""></div>
			<div class=""title"">ППУ придает матрасу упругость, делая его более комфортным</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает мягкие слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,110,"2021-11-15 10:37:27",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-new-foam.png ! alt :  ! title : Larmento NEW FOAM ! desc :  ! caption : ",,https://naturavera.org/product/new-foam/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,Да,3|1|0,,"до 110 кг",1|1|0,,,,,,,,,,,"18 см",0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"NEW FOAM STRONG",new-foam-strong,,120,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Forplit HV 10 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Forplit HV 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img i""></div>
			<div class=""title"">Forplit ECO устойчив к нагрузкам и деформациям</div>
		</div>
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
<div class=""item"">
			<div class=""bg-img d3""></div>
			<div class=""title"">Матрас оптимальной средней жесткости</div>
		</div>
	</div>
</div>",publish,,120,"2021-11-15 10:39:21",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-new-foam-strong.png ! alt :  ! title : Larmento NEW FOAM Strong ! desc :  ! caption : ",,https://naturavera.org/product/new-foam-strong/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,,,,"до 110 кг",1|1|0,,,,,,,,,,,17см,0|1|0,,,,,,,,,,,средняя,2|1|0,
"COCOS LIGHT 211",cocos-light-211,,121,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
<li>Жаккард, простеганный высокообъемным наполнителем Hollcon плотностью 150 гр/м2</li></ul>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
			<li>Кокос 10 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Кокос 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Кокос — натуральный и экологически чистый наполнитель, придает матрасу жесткость</div>
		</div>
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место.</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает мягкие слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,130,"2021-11-15 10:42:26",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-cocos-light-211.png ! alt :  ! title : Larmento COCOS LIGHT 211 ! desc :  ! caption : ",,https://naturavera.org/product/cocos-light-211/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,,,,"до 110 кг",1|1|0,,,,,,,,,,,"18 см",0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"FOAM LIGHT 217",foam-light-217,,122,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Bi-Foam 20 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Bi-Foam 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
		<div class=""item"">
			<div class=""bg-img j""></div>
			<div class=""title"">Упругая пена с жесткостью выше средней, хорошо держит форму, отлично проветривается</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает мягкие слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,140,"2021-11-15 11:10:31",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-foam-light-217.png ! alt :  ! title : Larmento FOAM LIGHT 217 ! desc :  ! caption : ",,https://naturavera.org/product/foam-light-217/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"20 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
"MIX LIGHT 218",mix-light-218,,123,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Кокос 10 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Bi-Foam 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img f""></div>
			<div class=""title"">Разная жесткость сторон</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Натуральное кокосовое полотно придает матрасу упругость и оптимальную жесткость</div>
		</div>
<div class=""item"">
			<div class=""bg-img j2""></div>
			<div class=""title"">Гипоаллергенная пена высокой плотности Bi-Foam хорошо поддерживает позвоночник</div>
		</div>
	</div>
</div>",publish,,150,"2021-11-15 11:16:26",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-mix-light-218.png ! alt :  ! title : Larmento MIX LIGHT 218 ! desc :  ! caption : ",,https://naturavera.org/product/mix-light-218/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"19 см",0|1|0,,,,,,,,,,,"выше средней/средняя",2|1|0,
"COCOS FOAM 219",cocos-foam-219,,124,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный высокообъемным Hollcon плотностью 150 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 10 мм</li>
                        <li>Кокос 10 мм</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Кокос 10 мм</li>
                        <li>ППУ 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Кокос — натуральный и экологически чистый наполнитель, придает матрасу жесткость</div>
		</div>
<div class=""item"">
			<div class=""bg-img b""></div>
			<div class=""title"">ППУ придает матрасу дополнительную комфортность</div>
		</div>
	</div>
</div>",publish,,160,"2021-11-15 11:18:23",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/larmento-cocos-foam-219-1.png ! alt :  ! title : Larmento COCOS FOAM 219 ! desc :  ! caption : ",,https://naturavera.org/product/cocos-foam-219/,0,,,,,,,,,simple,,"Матрасы > Коллекция Larmento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"19 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
"COCOS/LATEX 411",cocos-latex-411,,125,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Латекс 10 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Кокос 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img f""></div>
			<div class=""title"">Разная жесткость сторон</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Кокос — натуральный и экологически чистый наполнитель, придает матрасу жесткость</div>
		</div>
<div class=""item"">
			<div class=""bg-img e""></div>
			<div class=""title"">Латекс — упругий материал, обеспечивает правильную поддержку позвоночника</div>
		</div>
	</div>
</div>",publish,,1,"2021-11-15 11:32:17",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/cocos_latex-411-scaled.jpg ! alt :  ! title : COCOS_LATEX 411 ! desc :  ! caption : ",,https://naturavera.org/product/cocos-latex-411/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 110 кг",1|1|0,,,,,,,,Да,3|1|0,,"19 см",0|1|0,,,,,,,,,,,"средняя/выше средней",2|1|0,
"DOUBLE COCOS/LATEX 412",double-cocos-latex-412,,126,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Латекс 20 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Кокос 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img f""></div>
			<div class=""title"">Разная жесткость сторон</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g2""></div>
			<div class=""title"">Двойной слой экологически чистого кокоса увеличивает жесткость</div>
		</div>
<div class=""item"">
			<div class=""bg-img e3""></div>
			<div class=""title"">Двойной слой латекса обеспечивает правильную поддержку позвоночника</div>
		</div>
	</div>
</div>",publish,,2,"2021-11-15 11:34:39",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/double-cocos_latex-412-scaled.jpg ! alt :  ! title : DOUBLE COCOS_LATEX 412 ! desc :  ! caption : ",,https://naturavera.org/product/double-cocos-latex-412/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"21 см",0|1|0,,,,,,,,,,,"выше средней/высокая",2|1|0,
"COCOS LIGHT 414",cocos-light-414,,128,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
 	<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</div>
<div class=""title"">Состав</div>
<div class=""card__desc_list"">
<ul>
 	<li>Кокос 10 мм</li>
 	<li>Термовойлок</li>
 	<li>НПБ 500 пружин на спальное место</li>
 	<li>Термовойлок</li>
 	<li>Кокос 10 мм</li>
</ul>
</div>
<div class=""card__desc_add"">
<div class=""item"">
<div class=""bg-img g""></div>
<div class=""title"">Базовый вариант с натуральным кокосовым полотном</div>
</div>
<div class=""item"">
<div class=""bg-img c2""></div>
<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
</div>
<div class=""item"">
<div class=""bg-img c""></div>
<div class=""title"">Термовойлок защищает мягкие слои от истирания пружинным блоком</div>
</div>
</div>
</div>",publish,,3,"2021-11-15 11:37:02",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/cocos-light-414-scaled.jpg ! alt :  ! title : COCOS LIGHT 414 ! desc :  ! caption : ",,https://naturavera.org/product/cocos-light-414/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 110 кг",1|1|0,,,,,,,,Да,3|1|0,,"19 см",0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"DOUBLE COCOS 415",double-cocos-415,,129,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Кокос 20 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Кокос 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g2""></div>
			<div class=""title"">Двойной слой натурального кокосового полотна выдерживает нагрузку до 130 кг на спальное место</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает внутренние слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,4,"2021-11-15 11:37:46",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/double-cocos-415-scaled.jpg ! alt :  ! title : DOUBLE COCOS 415 ! desc :  ! caption : ",,https://naturavera.org/product/double-cocos-415/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 130 кг",1|1|0,,,,,,,,,,,"21 см",0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"GRAND COCOS 416",grand-cocos-416,,130,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Кокос 30 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Кокос 30 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img d2""></div>
			<div class=""title"">Анатомический матрас с высокой степенью жесткости</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g3""></div>
			<div class=""title"">Тройной слой кокосового полотна выдерживает нагрузку до 140 кг на спальное место</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает внутренние слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,5,"2021-11-15 11:39:57",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/grand-cocos-416-scaled.jpg ! alt :  ! title : GRAND COCOS 416 ! desc :  ! caption : ",,https://naturavera.org/product/grand-cocos-416/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 140 кг",1|1|0,,,,,,,,,,,"23 см",0|1|0,,,,,,,,,,,высокая,2|1|0,
"MIX COCOS/LATEX 418",mix-cocos-latex-418,,131,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
 	<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</ul>
</div>
<div class=""title"">Состав</div>
<div class=""card__desc_list"">
<ul>
 	<li>Кокос 20 мм</li>
 	<li>Термовойлок</li>
 	<li>НПБ 500 пружин на спальное место</li>
 	<li>Кокос 10 мм</li>
 	<li>Термовойлок</li>
 	<li>Латекс 20 мм</li>
</ul>
</div>
<div class=""card__desc_add"">
<div class=""item"">
<div class=""bg-img f"">&nbsp;</div>
<div class=""title"">Разная жесткость сторон</div>
</div>
<div class=""item"">
<div class=""bg-img g2"">&nbsp;</div>
<div class=""title"">С одной стороны двойной слой жесткого кокоса</div>
</div>
<div class=""item"">
<div class=""bg-img e4"">&nbsp;</div>
<div class=""title"">С другой стороны микс из упругого латекса и экологически чистого кокоса</div>
</div>
</div>
</div>",publish,,6,"2021-11-15 11:50:32",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/mix-cocos_latex-418-scaled.jpg ! alt :  ! title : MIX COCOS_LATEX 418 ! desc :  ! caption : ",,https://naturavera.org/product/mix-cocos-latex-418/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"22 см",0|1|0,,,,,,,,,,,"выше средней/средняя",2|1|0,
"DOUBLE LATEX 419",double-latex-419,,132,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
 	<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</ul>
</div>
<div class=""title"">Состав</div>
<div class=""card__desc_list"">
<ul>
 	<li>Латекс 20 мм</li>
 	<li>Кокос 10 мм</li>
 	<li>Термовойлок</li>
 	<li>НПБ 500 пружин на спальное место</li>
 	<li>Термовойлок</li>
 	<li>Кокос 10 мм</li>
 	<li>Латекс 20 мм</li>
</ul>
</div>
<div class=""card__desc_add"">
<div class=""item"">
<div class=""bg-img e3"">&nbsp;</div>
<div class=""title"">Двойной слой натурального латекса подстраивается под тело спящего, повышая комфорт спального места</div>
</div>
<div class=""item"">
<div class=""bg-img g"">&nbsp;</div>
<div class=""title"">Натуральное кокосовое полотно придает матрасу упругость и оптимальную жесткость</div>
</div>
<div class=""item"">
<div class=""bg-img c2"">&nbsp;</div>
<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
</div>
</div>
</div>",publish,,7,"2021-11-15 11:53:14",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/double-latex-419-scaled.jpg ! alt :  ! title : DOUBLE LATEX 419 ! desc :  ! caption : ",,https://naturavera.org/product/double-latex-419/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"23 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
"GRAND FOAM 420",grand-foam-420,,133,,"<div class=""card__desc"">
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
			<li>Пена Bi-Foam 20 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Пена Bi-Foam 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img j""></div>
			<div class=""title"">Гипоаллергенная «дышащяя» пена высокой плотности Bi-Foam</div>
		</div>
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает внутренние слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,8,"2021-11-15 12:00:03",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/grand-foam-420-scaled.jpg ! alt :  ! title : GRAND FOAM 420 ! desc :  ! caption : ",,https://naturavera.org/product/grand-foam-420/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"21 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
"LATEX 422",latex-422,,134,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Трикотаж, простеганный высокообъемным Hollcon плотностью 250 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Латекс 20 мм</li>
                        <li>Термовойлок</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Термовойлок</li>
                        <li>Латекс 20 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img e2""></div>
			<div class=""title"">Натуральный латекс обладает упругостью и гибкостью, подстраиваясь под тело спящего</div>
		</div>
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает внутренние слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,9,"2021-11-15 12:03:05",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/latex-422-scaled.jpg ! alt :  ! title : LATEX 422 ! desc :  ! caption : ",,https://naturavera.org/product/latex-422/,0,,,,,,,,,simple,,"Матрасы > Коллекция Flavento",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,,,,"21 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
